Date,1. open,2. high,3. low,4. close,5. volume
2025-01-02,795.0,802.4,786.3,801.0,711599.0
2025-01-01,796.8,798.5,789.6,793.4,356031.0
2024-12-31,788.8,799.0,787.0,795.0,283620.0
2024-12-30,802.7,808.0,785.2,788.3,686161.0
2024-12-27,817.2,818.8,797.2,799.6,1061163.0
2024-12-26,813.0,823.0,808.0,811.6,194920.0
2024-12-24,825.0,825.6,809.2,811.8,431577.0
2024-12-23,818.4,823.9,812.4,821.0,281649.0
2024-12-20,833.8,836.4,810.0,812.5,467910.0
2024-12-19,822.0,837.9,820.1,832.8,309033.0
2024-12-18,850.2,850.8,836.7,839.0,172425.0
2024-12-17,859.8,863.0,847.2,850.2,143409.0
2024-12-16,859.0,866.2,857.8,860.7,252691.0
2024-12-13,853.7,863.0,835.0,861.7,455324.0
2024-12-12,862.5,864.2,851.2,853.8,179011.0
2024-12-11,865.8,869.8,860.8,861.6,342069.0
2024-12-10,862.0,868.8,858.5,867.6,197287.0
2024-12-09,863.0,866.8,856.8,857.8,646144.0
2024-12-06,867.0,875.5,856.8,864.0,431320.0
2024-12-05,861.6,871.0,855.6,864.8,379508.0
2024-12-04,854.4,863.8,850.2,859.4,679548.0
2024-12-03,836.4,856.6,836.4,854.0,370485.0
2024-12-02,836.2,842.0,832.8,836.2,526054.0
2024-11-29,842.0,843.8,831.5,839.0,757635.0
2024-11-28,835.0,845.7,830.4,838.8,811586.0
2024-11-27,839.3,842.2,832.0,834.2,502957.0
2024-11-26,844.8,846.7,835.2,839.4,448647.0
2024-11-25,826.2,849.3,826.0,844.8,1612713.0
2024-11-22,785.6,819.8,784.3,816.0,1534393.0
2024-11-21,800.0,800.0,761.6,780.8,804079.0
2024-11-19,817.6,820.1,800.1,802.0,467072.0
2024-11-18,810.0,816.6,799.2,813.7,378989.0
2024-11-14,810.0,817.8,801.1,804.0,720597.0
2024-11-13,822.5,831.6,804.4,808.4,454522.0
2024-11-12,851.0,853.0,824.1,826.4,467134.0
2024-11-11,847.0,853.6,841.4,847.8,1417460.0
2024-11-08,860.0,863.6,834.3,843.2,1106664.0
2024-11-07,860.0,862.4,846.7,859.2,494821.0
2024-11-06,850.0,861.0,846.2,854.8,896339.0
2024-11-05,829.0,851.2,826.1,849.2,1335383.0
2024-11-04,822.6,837.5,807.0,829.8,458939.0
2024-10-31,822.0,828.0,813.4,820.5,497763.0
2024-10-30,830.0,832.9,821.0,822.4,322347.0
2024-10-29,796.5,834.5,790.5,832.6,1593501.0
2024-10-28,783.2,804.0,783.2,792.0,675658.0
2024-10-25,798.4,800.0,772.0,780.6,650630.0
2024-10-24,786.0,796.8,784.5,794.7,183971.0
2024-10-23,790.0,792.5,779.6,786.0,467975.0
2024-10-22,814.2,816.4,787.6,790.4,604778.0
2024-10-21,822.0,826.4,809.1,814.2,584223.0
2024-10-18,811.0,822.4,803.1,820.0,429099.0
2024-10-17,806.0,819.2,806.0,810.9,948591.0
2024-10-16,801.0,808.9,801.0,805.8,142406.0
2024-10-15,805.0,807.6,801.5,804.6,314354.0
2024-10-14,800.2,809.0,800.2,805.2,755286.0
2024-10-11,797.0,802.5,793.0,800.0,381115.0
2024-10-10,799.9,804.4,795.0,797.0,163966.0
2024-10-09,788.0,805.0,782.6,797.0,807499.0
